File	Mean	SE	Max	Min
LINGO4.Skin_Sun_Exposed_Lower_leg	0.178470907517703	0.00104498115726736	3.15282	-1.58358
LMAN2.9468_8	0.0206952978596433	0.000100697784916918	0.194496	-0.184465
LMAN2.Cells_Cultured_fibroblasts	0.071049883712375	0.000265096468216576	0.828965	-0.298906
LMAN2.Whole_Blood	0.146796331288322	0.000319584688392144	0.729199	-0.467227
LRRC43.Whole_Blood	0.114828557727652	0.000253214682899468	0.51321	-0.355622
MANBA.Skin_Not_Sun_Exposed_Suprapubic	-0.15615046115451	0.000269447364844877	0.182128	-0.461209
MANBA.Skin_Sun_Exposed_Lower_leg	-0.157139934794433	0.000189925316779115	0.100839	-0.460768
MANBA.Whole_Blood	-0.0616968992732732	0.000188305868155396	0.326777	-0.462667
MAP3K11.Skin_Not_Sun_Exposed_Suprapubic	0.503976602165834	0.000812846822272383	1.69969	-0.448652
MAP3K11.Skin_Sun_Exposed_Lower_leg	0.316612877116315	0.000547453624691166	1.0276	-0.195996
MAP3K11.Whole_Blood	0.584628732240659	0.000762560086521404	1.68858	-0.196055
MARS2.Skin_Sun_Exposed_Lower_leg	-0.145879764068985	0.000228253304745099	0.120017	-0.460342
MAST2.Cells_Cultured_fibroblasts	2.10113739497831	0.0013105243564745	4.1468	0.416645
MAST2.Skin_Not_Sun_Exposed_Suprapubic	0.0379768111148762	0.000276507576764823	0.391628	-0.306636
MBD2.Skin_Sun_Exposed_Lower_leg	-0.0603946715500195	0.000196165721842346	0.177833	-0.566058
MDH1.3853_56	0.0223222183866417	6.00399462390427e-05	0.110927	-0.0256035
MDH1.Cells_Cultured_fibroblasts	0.16420077094363	0.000461461653440465	0.85331	-0.2767
MDH1.Skin_Not_Sun_Exposed_Suprapubic	0.119395538193643	0.000335204680551359	0.680068	-0.49008
MDH1.Whole_Blood	0.0334127379578273	0.000104768379914	0.151464	-0.0989393
MED24.Cells_Cultured_fibroblasts	-0.201610271740278	0.000476633236708526	0.396626	-0.807881
MED24.Skin_Not_Sun_Exposed_Suprapubic	-0.188960690829162	0.000684458423114273	1.06371	-1.06598
MED24.Skin_Sun_Exposed_Lower_leg	-0.254684370110706	0.000712720100992913	1.07098	-1.09611
MED24.Whole_Blood	-0.230772255855964	0.000522374812137867	0.469586	-0.898554
MEI1.Cells_Cultured_fibroblasts	0.969589223659412	0.00139379736968582	4.17175	-3.17752
MEI1.Cells_EBV-transformed_lymphocytes	0.2939652975997	0.000791338142805929	1.8948	-0.37977
MEI1.Skin_Not_Sun_Exposed_Suprapubic	0.0548410729634308	0.000185670615282891	0.434593	-0.198708
MEI1.Skin_Sun_Exposed_Lower_leg	0.109664511357221	0.000342278933034758	0.769156	-0.285951
MEI1.Whole_Blood	1.27399453748718	0.0013775592942436	4.58333	-4.87521
MMP12.4496_60	-0.465472465698868	0.00068160220169314	0.627902	-2.26252
MMP19.6425_87	0.0220611581157199	6.5310897281446e-05	0.153193	-0.216277
MPHOSPH9.Skin_Not_Sun_Exposed_Suprapubic	0.173655732069042	0.000454248554463098	1.07216	-0.579103
MPHOSPH9.Skin_Sun_Exposed_Lower_leg	0.15687695347148	0.000379487778099135	0.84704	-0.537347
MRPS33.Cells_EBV-transformed_lymphocytes	-0.0981880644755466	0.00019171147168939	0.232158	-0.550738
MSL1.Skin_Sun_Exposed_Lower_leg	-0.0985283002659603	0.000383222954844185	0.510456	-0.880698
MYL6.Skin_Not_Sun_Exposed_Suprapubic	-0.000607402373217304	9.39991413594932e-05	0.178963	-0.243899
NAGLU.Cells_Cultured_fibroblasts	-0.242141445114646	0.000817898423142913	0.596069	-2.24103
NDFIP1.Skin_Not_Sun_Exposed_Suprapubic	-0.151461780736682	0.000349447896062993	0.453538	-0.744906
NDFIP1.Whole_Blood	0.163708550085371	0.000259563116272511	0.553602	-0.17763
NDST2.Skin_Not_Sun_Exposed_Suprapubic	-0.152201380525554	0.000324219125402142	0.284529	-0.722955
NDST2.Whole_Blood	-0.139401173810901	0.000575135099984054	0.830265	-0.944689
NDUFAF1.Cells_Cultured_fibroblasts	-0.815618692187598	0.00118702203244742	0.631089	-3.18768
NDUFAF1.Cells_EBV-transformed_lymphocytes	-0.610772783875982	0.00159172703598292	1.58688	-3.98502
NDUFS2.Cells_Cultured_fibroblasts	0.530437	0	0.530437	0.530437
NEU4.Skin_Not_Sun_Exposed_Suprapubic	-0.115231833170774	0.000213866742252961	0.152682	-0.521224
NEU4.Skin_Sun_Exposed_Lower_leg	-0.049685401060748	0.000241247819545867	0.43472	-0.481184
NFKB1.9869_28	0.0314352346466563	5.65782038418212e-05	0.120762	-0.0362551
NFKB1.Cells_Cultured_fibroblasts	0.21793852112626	0.000410640920058252	0.820355	-0.223658
NFKB1.Whole_Blood	0.0881763874701773	0.00021207742777049	0.436618	-0.172855
NRROS.Skin_Sun_Exposed_Lower_leg	-0.0513121210374962	0.000288596776870178	0.629269	-0.645889
NSMCE1.Skin_Sun_Exposed_Lower_leg	0.146953884785395	0.000247226411494859	0.555353	-0.231663
NUSAP1.Cells_Cultured_fibroblasts	0.0756848031024047	0.000189288744940477	0.375279	-0.0959316
ORMDL3.Cells_Cultured_fibroblasts	0.417619350622764	0.000589841749394362	1.23048	-1.02712
ORMDL3.Cells_EBV-transformed_lymphocytes	2.49526016554795	0.00175024860527936	5.0843	-0.930496
ORMDL3.Skin_Not_Sun_Exposed_Suprapubic	0.0989757597837663	0.000243594158132434	0.441361	-0.353453
ORMDL3.Skin_Sun_Exposed_Lower_leg	0.237443826863084	0.000382860925226422	0.742865	-0.44504
ORMDL3.Whole_Blood	0.211969045173774	0.000996945796608426	1.4343	-1.35262
OTX1.Skin_Sun_Exposed_Lower_leg	-0.132150653411667	0.000220030638201272	0.114688	-0.49495
OVOL1.Cells_EBV-transformed_lymphocytes	0.466936824372137	0.000880999222232476	1.49448	-0.407488
P4HA2.Cells_Cultured_fibroblasts	-0.164600080445451	0.000547086189569312	0.346638	-1.10999
PDCD1.15623_1	0.00198982097625487	9.16825352029123e-06	0.0234363	-0.0154673
PDCD1.Whole_Blood	-0.123772353038639	0.000297685191550054	0.316653	-0.746846
PDLIM4.Cells_Cultured_fibroblasts	0.0457175357344213	0.00058212162060703	0.923128	-0.826256
PDLIM4.Cells_EBV-transformed_lymphocytes	0.332942078989854	0.000540424569762743	1.17566	-0.173133
PDLIM4.Skin_Not_Sun_Exposed_Suprapubic	-0.0603574270400452	0.000575351099807353	0.66408	-0.656096
PDLIM4.Skin_Sun_Exposed_Lower_leg	-0.0420557983829682	0.000715831841999884	0.815038	-0.707253
PGAP3.Skin_Not_Sun_Exposed_Suprapubic	0.192119789410115	0.000449350835631797	1.83305	-0.233531
PGAP3.Skin_Sun_Exposed_Lower_leg	0.21823787938991	0.000462264647955457	0.998165	-0.434104
